ZONE	i=65	j=49
	4.3750000000000000E-01,	2.8194825622808878E-01
	4.6875000000000000E-01,	2.8666533677637440E-01
	5.0000000000000000E-01,	2.9138241732466008E-01
	5.3125000000000000E-01,	2.8666533677637440E-01
	5.6250000000000000E-01,	2.8194825622808878E-01
	5.9375000000000000E-01,	2.7723117567980310E-01
	6.2500000000000000E-01,	2.7251409513151748E-01
	6.5625000000000000E-01,	2.6779701458323191E-01
	6.8750000000000000E-01,	2.6307993403494617E-01
	7.1875000000000000E-01,	2.5836285348666049E-01
	7.5000000000000000E-01,	2.5364577293837481E-01
	7.8125000000000000E-01,	2.4892869239008919E-01
	8.1250000000000000E-01,	2.4421161184180351E-01
	8.4375000000000000E-01,	2.3949453129351780E-01
	8.7500000000000000E-01,	2.3477745074523221E-01
	9.0625000000000000E-01,	2.3006037019694650E-01
	9.3750000000000000E-01,	2.2534328964866090E-01
	9.6875000000000000E-01,	2.2062620910037520E-01
	1.0000000000000000E+00,	2.1590912855208960E-01
	1.0312500000000000E+00,	2.1590912855208949E-01
	1.0625000000000000E+00,	2.1590912855208960E-01
	1.0937500000000000E+00,	2.1590912855208960E-01
	1.1250000000000000E+00,	2.1590912855208949E-01
	1.1562500000000000E+00,	2.1590912855208949E-01
	1.1875000000000000E+00,	2.1590912855208949E-01
	1.2187500000000000E+00,	2.1590912855208960E-01
	1.2500000000000000E+00,	2.1590912855208949E-01
	1.2812500000000000E+00,	2.1590912855208949E-01
	1.3125000000000000E+00,	2.1590912855208949E-01
	1.3437500000000000E+00,	2.1590912855208949E-01
	1.3750000000000000E+00,	2.1590912855208949E-01
	1.4062500000000000E+00,	2.1590912855208949E-01
	1.4375000000000000E+00,	2.1590912855208960E-01
	1.4687500000000000E+00,	2.1590912855208949E-01
	1.5000000000000000E+00,	2.1590912855208949E-01
	-5.0000000000000000E-01,	2.4686698266122689E-01
	-4.6875000000000000E-01,	2.4686698266122689E-01
	-4.3750000000000000E-01,	2.4686698266122700E-01
	-4.0625000000000000E-01,	2.4686698266122689E-01
	-3.7500000000000000E-01,	2.4686698266122700E-01
	-3.4375000000000000E-01,	2.4686698266122689E-01
	-3.1250000000000000E-01,	2.4686698266122689E-01
	-2.8125000000000000E-01,	2.4686698266122689E-01
	-2.5000000000000000E-01,	2.4686698266122689E-01
	-2.1875000000000000E-01,	2.4686698266122689E-01
	-1.8750000000000000E-01,	2.4686698266122689E-01
